00DAE748 FF FF FF FF FF FF FF FF 2A 00 F8 FF 01 00 26 05 00 FF FF FF FF FF FF FF 00 02 FF FF Potion	Restores HP by 100
00DAE764 FF FF FF FF FF FF FF FF 2B 00 F8 FF 01 01 26 19 00 FF FF FF FF FF FF FF 00 02 FF FF Hi-Potion	Restores HP by 500
00DAE780 FF FF FF FF FF FF FF FF 2D 00 F8 FF 01 02 24 20 00 FF FF FF FF FF FF FF 00 02 FF FF X-Potion	Fully Restores HP
00DAE79C FF FF FF FF FF FF FF FF 2C 00 F8 FF 01 03 26 05 01 FF FF FF FF FF FF FF 00 02 FE FF Ether	Restores MP by 100
00DAE7B8 FF FF FF FF FF FF FF FF 2B 00 F8 FF 01 04 24 20 01 FF FF FF FF FF FF FF 00 02 FE FF Turbo Ether	Fully Restores MP
00DAE7D4 FF FF FF FF FF FF FF FF 2A 00 F8 FF 01 05 08 20 00 FF FF FF FF FF FF FF 00 02 FF FF Elixir	Fully Restores HP/MP
00DAE7F0 FF FF FF FF FF FF FF FF 2E 00 F8 FF 05 06 08 20 00 FF FF FF FF FF FF FF 00 02 FE FF Megalixir	Fully restores all members’ HP/MP
00DAE80C FF FF FF FF FF FF FF FF 2D 00 F8 FF 01 07 24 08 FF 7F FF FF 01 00 00 00 00 02 FF FE Phoenix Down	Restores life
00DAE828 FF FF FF FF FF FF FF FF 2A 00 FC FF 01 08 47 00 02 7F FF FF 08 00 00 00 FF FF FF FF Antidote	Cures [Poison]
00DAE844 FF FF FF FF FF FF FF FF 2B 00 FC FF 01 09 47 00 FF 7F FF FF 00 60 00 00 FF FF FF FF Soft	Cures [Petrify]
00DAE860 FF FF FF FF FF FF FF FF 2C 00 FC FF 01 0A 47 00 FF 7F FF FF 00 08 00 00 FF FF FF FF Maiden’s Kiss	Cures [Frog]
00DAE87C FF FF FF FF FF FF FF FF 2D 00 FC FF 01 0B 47 00 FF 7F FF FF 00 10 00 00 FF FF FF FF Cornucopia	Cures [Small]
00DAE898 FF FF FF FF FF FF FF FF 2A 00 FC FF 01 0C 47 00 02 7F FF FF 80 00 00 00 FF FF FF FF Echo Screen	Cures [Silence]
00DAE8B4 FF FF FF FF FF FF FF FF 2B 00 F8 FF 11 0D 47 00 02 3F FF FF 20 00 00 00 FF FF FF FF Hyper	Cures [Sadness]
00DAE8D0 FF FF FF FF FF FF FF FF 2C 00 F8 FF 11 0E 47 00 02 3F FF FF 10 00 00 00 FF FF FF FF Tranquilizer	Cures [Fury]
00DAE8EC FF FF FF FF FF FF FF FF 2B 00 FC FF 01 0F 47 00 02 7F FF FF FC 78 80 06 FF FF FF FF Remedy	Cures abnormal status
00DAE908 FF FF FF FF FF FF FF FF 2F 00 FC FF 05 10 47 00 FF FF 05 FF FF FF FF FF FF FF FF FF Smoke Bomb	Can escape from opponents during battle
00DAE924 FF FF FF FF FF FF FF FF 2A 00 FC FF 01 11 50 00 FF 3F FF FF 00 01 00 00 FF FF FF FF Speed Drink	Casts [Haste] on one ally
00DAE940 FF FF FF FF FF FF FF FF 2A 00 FC FF 11 12 00 00 FF FF 15 82 FF FF FF FF FF FF FF FF Hero Drink	Raises ability once during battle
00DAE95C FF FF FF FF FF FF FF FF 2A 00 FC FF 01 13 22 00 FF 3F FF FF 00 00 00 20 FF FF FF FF Vaccine	Protects against transformations
00DAE978 FF FF FF FF FF FF FF FF FF FF FC FF 03 14 37 0A FF FF FF FF FF FF FF FF 00 20 FF FF Grenade	Explosive damage against one opponent
00DAE994 FF FF FF FF FF FF FF FF 2E 00 FC FF 07 15 37 1A FF FF FF FF FF FF FF FF 00 20 FF FF Shrapnel	Explosive damage against all opponents
00DAE9B0 FF FF FF FF FF FF FF FF 2E 00 FC FF 07 16 37 64 FF FF FF FF FF FF FF FF 00 20 FF FF Right arm	Explosive damage against all opponents
00DAE9CC FF FF FF FF FF FF FF FF 2F 00 FC FF 07 17 47 00 FF 14 FF FF 00 04 00 00 FF FF FF FF Hourglass	Stops all opponents
00DAE9E8 FF FF FF FF FF FF FF FF 25 00 FC FF 07 18 47 00 FF 11 FF FF 01 00 00 00 FF FF FF FF Kiss of Death	Uses “Death” on all opponents
00DAEA04 FF FF FF FF FF FF FF FF 2E 00 FC FF 07 19 47 00 FF 3F FF FF 00 02 00 00 FF FF FF FF Spider Web	Slows all opponents
00DAEA20 FF FF FF FF FF FF FF FF 25 00 FC FF 07 1A 47 00 FF 14 FF FF 04 00 00 00 FF FF FF FF Dream Powder	Uses “Sleepel” on all opponents
00DAEA3C FF FF FF FF FF FF FF FF 2F 00 FC FF 07 1B 47 00 FF 14 FF FF 80 00 00 00 FF FF FF FF Mute Mask	Uses “Silence” on all opponents
00DAEA58 FF FF FF FF FF FF FF FF 2F 00 FC FF 07 1C 47 00 FF 14 FF FF 00 00 80 00 FF FF FF FF War Gong	Uses “Berserk” on all opponents
00DAEA74 FF FF FF FF FF FF FF FF 25 00 FC FF 07 1D 47 00 FF 14 FF FF 40 00 00 00 FF FF FF FF Loco weed	Uses “Confu” on all opponents
00DAEA90 FF FF FF FF FF FF FF FF 2F 00 FC FF 07 1E 47 3C FF FF FF FF FF FF FF FF 01 00 FF FF Fire Fang	Uses “Fire2” on all opponents
00DAEAAC FF FF FF FF FF FF FF FF 2E 00 FC FF 07 1F 47 4B FF FF FF FF FF FF FF FF 01 00 FF FF Fire Veil	Uses “Fire3” on all opponents
00DAEAC8 FF FF FF FF FF FF FF FF 2E 00 FC FF 07 20 47 4B FF FF FF FF FF FF FF FF 02 00 FF FF Antarctic Wind	Uses “Ice2” on all opponents
00DAEAE4 FF FF FF FF FF FF FF FF 25 00 FC FF 07 21 47 82 FF FF FF FF FF FF FF FF 02 00 FF FF Ice Crystal	Uses “Ice3” on all opponents
00DAEB00 FF FF FF FF FF FF FF FF 2F 00 FC FF 07 22 47 1A FF FF FF FF FF FF FF FF 04 00 FF FF Bolt Plume	Uses “Bolt2” on all opponents
00DAEB1C FF FF FF FF FF FF FF FF 2E 00 FC FF 07 23 47 4B FF FF FF FF FF FF FF FF 04 00 FF FF Swift Bolt	Uses “Bolt3” on all opponents
00DAEB38 FF FF FF FF FF FF FF FF 2E 00 FC FF 07 24 47 28 FF FF FF FF FF FF FF FF 08 00 FF FF Earth Drum	Uses “Quake2” on all opponents
00DAEB54 FF FF FF FF FF FF FF FF 25 00 FC FF 07 25 47 A0 FF FF FF FF FF FF FF FF 08 00 FF FF Earth Mallet	Uses “Quake3” on all opponents
00DAEB70 FF FF FF FF FF FF FF FF 2F 00 FC FF 07 26 47 06 FF 05 FF FF 08 00 00 00 10 00 FF FF Deadly Waste	Uses “Bio2” on all opponents
00DAEB8C FF FF FF FF FF FF FF FF 25 00 FC FF 07 27 47 96 FF 0C FF FF 08 00 00 00 10 00 FF FF M-Tentacles	Uses “Bio3” on all opponents
00DAEBA8 FF FF FF FF FF FF FF FF 25 00 FC FF 87 28 47 46 FF FF 00 04 FF FF FF FF FF FF FF FF Stardust	Uses “Comet2” on all opponents
00DAEBC4 FF FF FF FF FF FF FF FF DD 00 FC FF 03 29 47 0C FF FF FF FF FF FF FF FF FF FF EF FF Vampire Fang	Drains HP out of one opponent
00DAEBE0 FF FF FF FF FF FF FF FF DD 00 FC FF 03 2A 47 02 FF FF FF FF FF FF FF FF FF FF EE FF Ghost Hand	Drains MP out of one opponent
00DAEBFC FF FF FF FF FF FF FF FF 2E 00 FC FF 03 2B 47 00 FF 11 FF FF 00 40 00 00 FF FF FF FF Vagyrisk Claw	Petrifies one opponent
